Ticker,Sector,SubIndustry,Price,PE_Rank,PS_Rank,EPS_Growth,Rev_Growth,ROE,Op_Margin,Mom_Range,Mom_3M,Mom_12M,Rev_Change,Rec_BuyRatio,Streak_Days,Value_S,Growth_S,Prof_S,Mom_S,Rev_S,Fundamental_Score,Consensus_Score,Streak_Score,Sentiment_Score,Alpha_Score,Min_Fund_Factor
WBS,Financials,Regional Banks,64.77,11.2969,2.72593,1.64,93.49402,9.959999999999999,43.21621,0.9347104389524157,,17.1883,0.0,0.8636363636363636,2,63.951341370696206,70.50605612058125,65.91356075227043,64.45426647899221,39.31803133966012,60.82865121244005,93.15738025415445,2.666666666666667,56.961094819159335,59.668384294455834,39.31803133966012
HALO,Health Care,Biotechnology,72.47,14.3113,6.857,,31.19,141.55,59.33,0.7803125,,34.8028,0.04583333333333328,0.7333333333333333,2,59.75948196114709,65.39469626888683,99.69164353993216,59.222941720629045,84.67468393462842,73.74868948504471,42.86154794942954,2.666666666666667,26.78359543632439,59.65916127042861,59.222941720629045
XPEL,Consumer Discretionary,Automotive Parts & Equipment,53.86,31.9647,3.2359,26.54,10.29,18.96,12.82,0.9520900321543407,,37.398,0.0,0.8888888888888888,2,23.54236577181208,83.02250332147224,69.62605432613822,67.4911572646472,55.0859899328859,59.75361412339113,97.06375838926175,2.666666666666667,59.304921700223716,59.6190063964409,23.54236577181208
KALU,Materials,Aluminum,123.07,21.8217,0.6215,-5.6,7.69,12.16,4.93,0.9794516149746353,,74.865,0.75,0.75,2,72.7125243348475,48.26488674639226,48.92926670992861,68.21544451654769,100.0,67.62442446154321,65.80142764438676,2.666666666666667,40.54752325329873,59.501354099069864,48.26488674639226
RGLD,Materials,Gold,245.2,43.1062,24.1276,10.69,28.11,14.729999999999999,65.38,0.9752890111306889,,79.9633,0.02083333333333337,0.8333333333333334,2,15.60379918588874,82.83287121703735,85.51560379918588,67.5033921302578,65.15151515151514,63.32143629677698,81.88602442333786,2.666666666666667,50.19828132066938,59.384489803944696,15.60379918588874
GXO,Industrials,Air Freight & Logistics,57.0,73.3272,0.5051,16.39,16.94,3.0300000000000002,1.95,0.9640392299309843,,27.5168,0.09047619047619049,0.9,2,50.091575091575095,80.20182052584286,12.912087912087912,63.01260143365406,91.94139194139194,59.63189538091037,95.78754578754578,2.666666666666667,58.53919413919414,59.3040850083955,12.912087912087912
ATI,Industrials,Aerospace & Defense,122.3,37.3564,3.6256,7.37,7.75,24.8,14.82,0.9694246703232582,,120.0432,0.06666666666666665,0.8666666666666667,2,40.476190476190474,50.22490901859237,71.25435540069687,64.80747322852586,84.55284552845528,62.26315473049217,85.24970963995354,2.666666666666667,52.21649245063879,59.24915604653616,40.476190476190474
WYNN,Consumer Discretionary,Casinos & Gaming,117.83,24.3855,1.7294,31.64,-0.26,-244.74999999999997,16.98,0.7568734705628328,,45.1645,0.08153846153846156,0.9615384615384616,2,47.315436241610726,54.63799866742561,34.73305520285386,65.68934034705848,89.50782997762865,58.37673208731546,100.0,2.666666666666667,61.06666666666667,59.18371246112082,34.73305520285386
HWC,Financials,Regional Banks,68.07,11.7941,2.42551,7.06,49.43353,11.19,41.90665,0.969132090599318,,22.362,0.019230769230769273,0.7692307692307693,2,64.76050830889541,56.10609750274555,69.48876690812173,73.97497171231518,62.32067976164202,65.33020483874398,72.56978386010645,2.666666666666667,44.60853698273054,59.11370448193994,56.10609750274555
BCO,Industrials,Security & Alarm Services,126.93,31.0016,1.0247,44.99,3.07,74.46000000000001,9.73,0.9944786578891487,,37.3701,0.0,0.8571428571428571,2,56.4625850340136,69.50476750535556,71.31519274376416,73.1734097147631,41.04308390022675,62.29980777962463,84.12698412698411,2.666666666666667,51.54285714285714,59.072722588594374,41.04308390022675
VTOL,Energy,Oil & Gas Equipment & Services,40.14,8.1495,0.7914,,4.78,14.82,10.81,0.8453318335208099,,13.6467,0.017857142857142905,0.875,2,87.74104683195593,54.0633608815427,51.239669421487605,60.49586776859504,64.73829201101928,63.65564738292011,78.78787878787878,2.666666666666667,48.339393939393936,59.06077134986225,51.239669421487605
ESI,Materials,Specialty Chemicals,28.05,28.3546,2.7161,23.21,3.87,9.4,16.21,0.9929577464788734,,10.0863,0.0,0.875,2,40.27985074626866,82.19437234119259,67.96641791044776,67.98507462686568,46.27039627039627,60.939222379034184,88.76865671641792,2.666666666666667,54.32786069651742,58.95581387427916,40.27985074626866
VITL,Consumer Staples,Agricultural Products & Services,30.9,22.6965,1.9435,80.82,23.56,20.34,11.23,0.0836940836940836,,-21.5338,0.0032679738562091387,0.9444444444444444,2,37.70161290322581,96.95088414047245,67.00268817204301,31.983518420588755,58.06451612903226,58.34064395307246,98.65591397849462,2.666666666666667,60.26021505376344,58.91651528327975,31.983518420588755
